1,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14
,,,,,,,,,,,,,,
,Data de Referência,,,,,,,,,,,,,
,2024-11-07 00:00:00,,,,,,,,,,,,,
,,,,,,,,,,,,,,
MERCADO SECUNDÁRIO DE DEBÊNTURES,,,,,,,,,,,,,,
Títulos Privados - DEBÊNTURES,,,PERCENTUAL do DI,,,,,,,2024-11-07 00:00:00,,,,
Código,Nome,Repac./  Venc.,Índice/ Correção,Taxa de Compra,Taxa de Venda,Taxa Indicativa,Desvio Padrão,Intervalo Indicativo,,PU,% Pu Par,Duration,% Reune,Referência NTN-B
,,,,,,,,Min.,Máx.,,,,,
CEEBB2,CIA DE ELETRICIDADE DO ESTADO DA BAHIA - COELBA (*) (**),24/04/2026,"110,25% do DI",108.689,103.7777,106.1746,0.3631,105.8115,106.5379,10088.919659,100.4435,226.9,,
CEPE20,COMPANHIA ENERGÉTICA DE PERNAMBUCO - CELPE (*) (**),15/04/2026,111% do DI,109.7728,103.8571,106.5632,0.4525,106.1107,107.0158,10123.512898,100.4709,221.37,,
DASAA1,DIAGNÓSTICOS DA AMÉRICA S/A (*) (**),10/06/2026,"108,5% do DI",138.8989,127.8485,134.1021,3.9118,130.1904,138.014,10164.858039,97.0449,242.84,,
DASAB0,DIAGNÓSTICOS DA AMÉRICA S/A (*),10/12/2024,"110,5% do DI",131.12,115.7456,124.0274,3.1271,120.9002,127.1546,10470.737136,99.8798,21,,
DASAC0,DIAGNÓSTICOS DA AMÉRICA S/A (*),10/12/2026,"112,5% do DI",140.4609,129.7867,136.0017,2.7698,133.2319,138.7717,10083.884862,96.1075,347.3,,
GGBRB6,GERDAU S/A (*) (**),06/05/2026,"107,25% do DI",105.9866,102.9285,104.336,0.1598,104.1761,104.4959,1005.393581,100.4961,348.88,,
HAPV21,HAPVIDA PARTICIPACOES E INVESTIMENTOS S/A (*) (**),10/07/2026,"110,55% do DI",110.52,105.9285,108.2015,0.3373,107.8642,108.539,1041.51826,100.301,265.92,,
KLBNA2,KLABIN S/A,19/03/2029,"114,65% do DI",105.8916,103.4718,104.4676,0.3212,104.1464,104.789,10507.413104,103.3945,681.13,,
LORTA5,LOCALIZA RENT A CAR (*) (**),15/04/2026,"107,25% do DI",109.8355,103,106.6109,1.7901,104.8208,108.4011,1008.031529,100.0678,221.45,,
LORTB3,LOCALIZA RENT A CAR (*) (**),11/11/2024,"111,3% do DI",119.0207,110.0859,114.3332,1.4123,112.9209,115.7455,5235.930323,100.0748,2,,
LORTD4,LOCALIZA RENT A CAR (*),18/09/2026,"112,32% do DI",113,108,110.6257,0.2095,110.4161,110.8353,7644.59286,100.2871,349.38,,
MULP17,MULTIPLAN EMPREENDIMENTOS IMOBILIÁRIOS S/A (*) (**),25/04/2026,106% do DI,104.2367,102.5,103.4913,0.3794,103.1119,103.8707,10065.935739,100.2744,228.19,,
PETR36,PETRÓLEO BRASILEIRO S/A - PETROBRAS (*) (**),15/01/2026,"106,25% do DI",108.0539,101.454,105.5886,1.0935,104.4951,106.6822,1036.100484,100.0506,160.5,,
RADL14,RAIA DROGASIL S/A (*) (**),17/06/2027,"106,99% do DI",104.5,102.5,103.5463,0.2372,103.3091,103.7836,1052.50373,100.7598,452.78,,
SAPR29,COMPANHIA DE SANEAMENTO DO PARANA - SANEPAR (*) (**),11/06/2026,"107,25% do DI",120.0566,109.3079,114.5965,1.4668,113.1297,116.0634,10332.679148,98.7414,353.81,,
TAEE16,TRANS. ALIANÇA DE ENERGIA ELÉTRICA S/A (*) (**),15/05/2026,108% do DI,105.6268,101,102.9106,0.618,102.2926,103.5287,1063.629111,100.8379,336.72,,
TFLE15,LOCALIZA FLEET S.A. (*) (**),18/07/2025,112% do DI,--,--,114.2821,1.4427,112.8394,115.7249,1034.351494,99.8246,163.97,,
UNDAC2,UNIDAS S/A (*) (**),10/04/2027,"110,5% do DI",114.108,109.894,112.1606,0.3626,111.798,112.5233,1006.319928,99.7428,321.58,,
UNDAC3,UNIDAS S/A (*),10/04/2029,112% do DI,116.224,112.7844,114.7442,0.9883,113.7559,115.7326,998.726452,98.9783,775.79,,
,,,,,,,,,,,,,,
(*) O papel tem cláusula de Resgate ou Amortização Antecipado.,,,,,,,,,,,,,,
(**) A cláusula já está no período de exercício.,,,,,,,,,,,,,,
(#) Condição atual de negociação em “combo” dessas emissões.,,,,,,,,,,,,,,
"Obs.:  Algumas séries de debêntures não têm seus preços divulgados, em função de características não padronizadas ou incertezas sobre os eventos financeiros.  ",,,,,,,,,,,,,,
