1,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14
,,,,,,,,,,,,,,
,Data de Referência,,,,,,,,,,,,,
,2024-11-07 00:00:00,,,,,,,,,,,,,
,,,,,,,,,,,,,,
MERCADO SECUNDÁRIO DE DEBÊNTURES,,,,,,,,,,,,,,
Títulos Privados - DEBÊNTURES,,,IPCA + SPREAD,,,,,,,2024-11-07 00:00:00,,,,
Código,Nome,Repac./  Venc.,Índice/ Correção,Taxa de Compra,Taxa de Venda,Taxa Indicativa,Desvio Padrão,Intervalo Indicativo,,PU,% Pu Par,Duration,% Reune,Referência NTN-B
,,,,,,,,Min.,Máx.,,,,,
ACRC21,ATLAS LUIZ CARLOS COMERCIALIZADORA DE ENERGIA S.A. (*),15/07/2044,"IPCA + 7,415%",7.631,7.3729,7.4657,0.1184,7.3473,7.5841,1027.958901,99.6025,2125.45,0.45,15/05/2035
AEAB11,AES CAJUINA AB1 HOLDINGS S.A. (*),15/06/2044,"IPCA + 7,0718%",7.4242,7.1224,7.2092,0.1289,7.0804,7.3382,1172.994192,98.967,2035.2,0.05,15/05/2035
AEGP23,AEGEA SANEAMENTO E PARTICIPAÇÕES S/A (*) (**),15/07/2025,"IPCA + 7,0825%",--,--,8.9433,0.2452,8.6982,9.1886,7032.616642,98.858,168,,15/05/2025
AESL17,RGE SUL DISTRIBUIDORA DE ENERGIA S/A,15/08/2025,"IPCA + 5,8%",5.562,5.0753,5.4045,0.104,5.3005,5.5087,705.879326,100.2791,187.53,,15/05/2025
AESLA5,RGE SUL DISTRIBUIDORA DE ENERGIA S/A (*),15/10/2033,"IPCA + 6,1774%",6.9041,6.6066,6.7847,0.0873,6.6974,6.8721,1013.485608,96.4584,1588.73,,15/08/2032
AESLA7,RGE SUL DISTRIBUIDORA DE ENERGIA S/A (*),15/04/2034,"IPCA + 6,1409%",6.9559,6.6467,6.8183,0.1264,6.6919,6.9449,980.316164,95.8669,1666.14,,15/05/2033
AESLB7,RGE SUL DISTRIBUIDORA DE ENERGIA S/A (*),15/04/2039,"IPCA + 6,2031%",6.8552,6.5396,6.7025,0.1148,6.5878,6.8174,979.361575,95.7698,2308.91,0.15,15/08/2040
AESOA1,AES TIETE ENERGIA S/A (*),15/03/2038,"IPCA + 6,4966%",7.372,6.9409,7.0947,0.1044,6.9903,7.1992,1022.935797,96.4758,1604.84,0.15,15/05/2033
AGVF12,AGRO INDUSTRIAS DO VALE DO SAO FRANCISCO SA - AGROVALE (*),15/08/2027,"IPCA + 6,7686%",7.4002,7.0463,7.2045,0.1595,7.0451,7.3641,1204.984015,99.3321,414.19,,15/08/2026
AHGD13,ATHON GERACAO DISTRIBUIDA S/A (*),15/09/2041,"IPCA + 7,3293%",7.5913,7.2276,7.393,0.0404,7.3526,7.4334,1.008922,99.6147,1617.67,,15/05/2033
ALGA27,ALGAR TELECOM S/A,15/03/2025,"IPCA + 5,5395%",5.8527,--,5.3811,0.1198,5.2614,5.501,715.519046,100.0513,86,,
ALGAB1,ALGAR TELECOM S/A (*),15/07/2031,"IPCA + 4,9999%",7.5399,7.1566,7.3329,0.0752,7.2577,7.4082,1102.316135,89.8653,1217.45,0.4,15/08/2030
ALGAC2,ALGAR TELECOM S/A (*),15/01/2032,"IPCA + 5,8806%",7.5414,7.132,7.3851,0.0617,7.3234,7.4468,1083.895493,93.0397,1281.87,0.5,15/08/2030
ALGE16,ALIANCA GERACAO DE ENERGIA S.A (*),15/11/2037,"IPCA + 6,1451%",7.0702,6.7138,6.9553,0.0862,6.8692,7.0416,1029.087007,95.5936,1479.32,0.1,15/08/2032
ALGTA4,ALGAR TELECOM S/A (*),15/11/2033,"IPCA + 6,3243%",7.4708,7.09,7.2928,0.0589,7.2339,7.3517,1019.860183,94.8339,1466.48,,15/08/2032
ALIG12,ALIANCA GERACAO DE ENERGIA S.A,15/12/2029,"IPCA + 3,65%",6.9123,6.4273,6.6778,0.2299,6.4479,6.9079,925.167002,93.5047,579.9,,15/05/2027
ALIG13,ALIANCA GERACAO DE ENERGIA S.A (*),15/02/2035,IPCA + 4%,6.9202,6.57,6.7744,0.1849,6.5895,6.9594,908.768598,88.1918,1174.06,0.35,15/08/2030
ALIG15,ALIANCA GERACAO DE ENERGIA S.A (*),15/04/2036,"IPCA + 6,1305%",6.9543,6.5989,6.7776,0.1956,6.5821,6.9733,980.497393,96.6529,1403.48,,15/08/2032
ANET11,AMERICA NET S.A. (*),15/03/2029,"IPCA + 5,6006%",8.2448,7.7649,8.061,0.2641,7.7969,8.3252,825.037556,95.1828,535.48,0.15,15/05/2027
ANET12,AMERICA NET S.A. (*),15/11/2030,"IPCA + 8,9619%",8.49,7.9595,8.3695,0.5469,7.8226,8.9165,1163.67971,101.9916,913.5,0.15,15/05/2029
APFD19,AUTOPISTA FERNAO DIAS S/A (*),15/09/2031,"IPCA + 6,3854%",7.4668,7.0821,7.2867,0.0529,7.2338,7.3396,1077.021452,96.7635,979.14,0.5,15/05/2029
APRB18,AUTOPISTA REGIS BITTENCOURT S/A,15/06/2031,"IPCA + 4,5%",7.4024,7.0389,7.2208,0.105,7.1157,7.3259,1252.051386,89.7063,1053.38,0.1,15/05/2029
ARTR19,ARTERIS S/A (*) (**),15/09/2027,"IPCA + 4,8392%",7.5257,6.9908,7.2006,0.2122,6.9884,7.4129,1239.122802,95.194,556.17,,15/05/2027
ASAB11,ASA BRANCA HOLDING S.A. (*),15/06/2033,"IPCA + 6,25%",8.95,8.4515,8.7697,0.1445,8.6251,8.9143,909.948688,91.1221,979.55,,15/05/2029
ASCP13,CONCESS. ROD. A. S. E C. PINTO S/A - ECOPISTAS (*),15/03/2030,"IPCA + 7,55%",7.1041,6.7718,6.9192,0.0729,6.8463,6.9922,1054.871301,101.8197,774.34,,15/08/2028
ASCP23,CONCESS. ROD. A. S. E C. PINTO S/A - ECOPISTAS (*),15/03/2035,"IPCA + 8,15%",7.2316,6.8411,7.0327,0.0948,6.9379,7.1276,1149.787033,106.7299,1592.27,,15/08/2032
ASER12,AGUAS DO SERTAO S.A. (*),15/12/2043,"IPCA + 8,4051%",8.7514,8.3453,8.5019,0.1588,8.343,8.6608,1088.402571,99.247,2130.99,0.35,15/05/2035
ASSR21,ASSURUA 5 ENERGIA S.A (*),15/06/2041,"IPCA + 7,1071%",7.7791,7.3831,7.5907,0.1221,7.4685,7.7129,1023.782314,97.212,1566.37,,15/08/2032
ATHT11,ATHON GERACAO DISTRIBUIDA III S.A. (*),15/09/2041,"IPCA + 7,3293%",7.6074,7.218,7.4081,0.0616,7.3466,7.4698,1.008013,99.525,1616.95,,15/05/2033
ATII12,ATHON GERACAO DISTRIBUIDA II S.A. (*),15/09/2041,"IPCA + 7,3293%",7.6114,7.2026,7.4339,0.0418,7.392,7.4758,1.006464,99.3721,1615.72,0.35,15/05/2033
AURE12,AUREN ENERGIA S.A. (*),15/04/2034,"IPCA + 6,298%",7.1102,6.8298,6.9852,0.0864,6.8989,7.0717,981.937553,95.8373,1656.76,,15/05/2033
BARU11,BARUERI ENERGIA RENOVAVEL S.A. (*),15/03/2043,"IPCA + 7,7959%",7.9851,7.6348,7.7934,0.1074,7.686,7.9009,1030.012929,100.0213,2319.74,,15/08/2040
BCPSA5,CLARO S/A,15/03/2029,"IPCA + 5,7687%",7.0237,6.6824,6.8679,0.0834,6.7846,6.9514,992.214163,96.1029,967.42,,15/05/2029
BHSA11,BARREIRAS HOLDING S.A. (*),15/03/2044,"IPCA + 6,8413%",7.4776,7.2083,7.3231,0.0985,7.2246,7.4217,1028.188444,96.4504,2005.5,0.05,15/05/2035
BLMN12,BELO MONTE TRANSMISSORA DE ENERGIA SPE S.A.,15/12/2031,"IPCA + 7,1358%",6.9823,6.5198,6.7459,0.212,6.5339,6.9579,1264.138559,101.0843,747.21,0.1,15/08/2028
BRFS31,BRF S/A,30/04/2026,"IPCA + 5,5%",8.5922,7.449,7.7267,1.301,6.4256,9.0278,N/D,N/D,N/D,,15/05/2025
BRKP28,BRK AMBIENTAL PARTICIPACOES S/A (*),15/09/2034,"IPCA + 5,5365%",8.2965,7.7574,8.0188,0.112,7.9068,8.1309,1133.320792,86.063,1607.43,,15/05/2033
BRST11,BRISANET SERVICOS DE TELECOMUNICACOES S.A. (*),15/03/2028,"IPCA + 5,7694%",7.1774,6.8318,6.996,0.2016,6.7944,7.1977,1222.571687,98.0338,432.59,0.15,15/08/2026
CAEC12,COMPANHIA DE AGUA E ESGOTO DO CEARA - CAGECE (*),15/06/2036,"IPCA + 8,1891%",7.9316,7.4291,7.8883,0.284,7.6043,8.1724,1061.681932,102.0003,1797.66,,15/05/2035
CAEC21,COMPANHIA DE AGUA E ESGOTO DO CEARA - CAGECE (*),15/03/2029,"IPCA + 5,4058%",7.7781,7.4059,7.5721,0.2108,7.3614,7.783,1181.105187,94.4076,710.28,,15/05/2027
CAJS11,CONCESSIONARIA AGUAS DE JUTURNAIBA S/A,15/11/2040,"IPCA + 5,4%",7.3836,7.0063,7.2031,0.2663,6.9368,7.4695,1107.546388,89.2463,1644.47,,15/05/2033
CAJS12,CONCESSIONARIA AGUAS DE JUTURNAIBA S/A (*),15/09/2037,"IPCA + 6,85%",7.3178,6.8532,7.0549,0.1752,6.8797,7.2301,1060.756127,99.0395,1266.51,,15/08/2030
CART12,CONCESSIONÁRIA AUTO RAPOSO TAVARES S/A (*) (**),15/12/2024,"IPCA + 5,8%",6.3466,5.4961,5.8383,0.5961,5.2422,6.4345,620.386558,99.9964,25,,
CART13,CONCESSIONÁRIA AUTO RAPOSO TAVARES S/A (*),15/12/2035,"IPCA + 6,8138%",7.3059,6.8276,7.0331,0.1346,6.8985,7.1678,11802.784087,98.994,1240.09,,15/08/2030
CART22,CONCESSIONÁRIA AUTO RAPOSO TAVARES S/A (*) (**),15/12/2024,"IPCA + 6,05%",--,--,7.1561,0.6445,6.5116,7.8007,621.089673,99.8971,25,,
CASN23,COMPANHIA CATARINENSE DE AGUAS E SANEAMENTO - CASAN (*),16/11/2033,"IPCA + 10,3294%",9.966,8.9591,9.5088,0.3317,9.1771,9.8406,1127.704811,102.9252,978.81,0.35,15/05/2029
CBAN12,CONCESSIONÁRIA ROTA DAS BANDEIRAS S/A,15/07/2034,IPCA + 5%,7.3837,6.9846,7.1832,0.0467,7.1366,7.23,1335.376025,89.4178,1352.62,0.1,15/08/2030
CBAN32,CONCESSIONÁRIA ROTA DAS BANDEIRAS S/A,15/07/2034,"IPCA + 5,2%",7.3686,6.9903,7.2365,0.1776,7.0589,7.4142,1352.645982,90.1579,1345.77,0.15,15/08/2030
CBAN52,CONCESSIONÁRIA ROTA DAS BANDEIRAS S/A,15/07/2034,"IPCA + 5,2%",7.3538,6.9668,7.188,0.1371,7.0509,7.3252,1355.918639,90.3761,1346.53,,15/08/2030
CBAN72,CONCESSIONÁRIA ROTA DAS BANDEIRAS S/A,15/07/2034,"IPCA + 5,2%",7.3876,6.9876,7.2337,0.2198,7.0139,7.4536,1352.834617,90.1705,1345.81,,15/08/2030
CCLS11,CICLUS AMBIENTAL DO BRASIL S.A. (*),15/01/2031,"IPCA + 6,6739%",--,--,8.1058,0.2044,7.9015,8.3103,1117.545281,93.5295,1258.23,,15/08/2030
CCRDD1,CCR S/A (*) (**),15/11/2024,IPCA + 6%,--,--,7.1822,0.3434,6.8388,7.5257,738.78411,99.9736,6,,
CCROA5,CCR S/A (*),15/11/2033,"IPCA + 4,8791%",7.0623,6.7386,6.9456,0.0604,6.8852,7.006,966.838411,89.3956,1421.83,0.05,15/08/2032
CCROB4,CCR S/A (*) (**),15/12/2028,"IPCA + 4,25%",6.9001,6.4209,6.6457,0.1803,6.4653,6.8261,1245.147014,95.7199,479.67,,15/08/2026
CCROB6,CCR S/A (*),15/01/2036,"IPCA + 6,437%",7.0684,6.7274,6.9114,0.0719,6.8394,6.9834,1132.526791,97.1461,1634.43,,15/05/2033
CEAD11,CEA II CENTRAIS EOLICAS ASSURUA II SPE S/A,15/06/2030,"IPCA + 6,6605%",7.1509,6.9285,7.0299,0.3489,6.681,7.3789,986.912041,99.1247,639.55,,15/05/2027
CEAP12,COMPANHIA DE ELETRICIDADE DO AMAPA - CEA (*) (**),15/07/2030,"IPCA + 6,5%",7.1219,6.799,6.9556,0.0929,6.8627,7.0486,1056.2599,98.1576,1096.51,,15/05/2029
CEAP14,COMPANHIA DE ELETRICIDADE DO AMAPA - CEA (*),15/12/2033,"IPCA + 6,75%",7.2525,6.8128,7.0403,0.119,6.9213,7.1594,1050.998058,98.3376,1552.98,0.1,15/08/2032
