1,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14
,,,,,,,,,,,,,,
,Data de Referência,,,,,,,,,,,,,
,2024-11-13 00:00:00,,,,,,,,,,,,,
,,,,,,,,,,,,,,
MERCADO SECUNDÁRIO DE DEBÊNTURES,,,,,,,,,,,,,,
Títulos Privados - DEBÊNTURES,,,VENCIDOS ANTECIPADAMENTE,,,,,,,2024-11-13 00:00:00,,,,
Código,Nome,Repac./  Venc.,Índice/ Correção,Taxa de Compra,Taxa de Venda,Taxa Indicativa,Desvio Padrão,Intervalo Indicativo,,PU,% VNE,Duration,% Reune,Referência NTN-B
,,,,,,,,Min.,Máx.,,,,,
LIGH1B,LIGHT SERVIÇOS DE ELETRICIDADE S/A (*),15/01/2025,"DI + 2,6%",--,--,--,--,--,--,338.35025,50.75,N/D,,
LIGHB4,LIGHT SERVIÇOS DE ELETRICIDADE S/A,15/04/2024,"DI + 1,95%",--,--,--,--,--,--,507.5,50.75,N/D,,
LIGHB6,LIGHT SERVICOS DE ELETRICIDADE S/A,15/04/2024,"DI + 1,25%",--,--,--,--,--,--,507.5,50.75,N/D,,
LIGHC3,LIGHT SERVICOS DE ELETRICIDADE S/A,15/10/2026,"DI + 1,65%",--,--,--,--,--,--,502,50.2,N/D,,
LIGHC6,LIGHT SERVICOS DE ELETRICIDADE S/A,15/04/2025,"DI + 1,35%",--,--,--,--,--,--,489,48.9,N/D,,
LIGHD3,LIGHT SERVICOS DE ELETRICIDADE S/A,15/10/2028,"DI + 1,95%",--,--,--,--,--,--,492.5,49.25,N/D,,
LIGHA5,LIGHT SERVICOS DE ELETRICIDADE S/A,15/10/2025,"IPCA + 6,8279%",--,--,--,--,--,--,507.5,50.75,N/D,,
LIGHA9,LIGHT SERVIÇOS DE ELETRICIDADE S/A,15/07/2025,"IPCA + 5,8%",--,--,--,--,--,--,507.5,50.75,N/D,,
LIGHB0,LIGHT SERVIÇOS DE ELETRICIDADE S/A,15/08/2025,"IPCA + 5,0867%",--,--,--,--,--,--,507.5,50.75,N/D,,
LIGHD2,LIGHT SERVICOS DE ELETRICIDADE S/A,15/04/2031,"IPCA + 4,7543%",--,--,--,--,--,--,487.5,48.75,N/D,,
,,,,,,,,,,,,,,
(*) O papel tem cláusula de Resgate ou Amortização Antecipado.,,,,,,,,,,,,,,
(**) A cláusula já está no período de exercício.,,,,,,,,,,,,,,
(#) Condição atual de negociação em “combo” dessas emissões.,,,,,,,,,,,,,,
"Obs.:  Algumas séries de debêntures não têm seus preços divulgados, em função de características não padronizadas ou incertezas sobre os eventos financeiros.  ",,,,,,,,,,,,,,
