Código,Nome,Repac./  Venc.,Índice/ Correção,Taxa de Compra,Taxa de Venda,Taxa Indicativa,Desvio Padrão,PU,Duration,% Reune,Indexador,Data
ACRC21,ATLAS LUIZ CARLOS COMERCIALIZADORA DE ENERGIA S.A. (*),15/07/2044,"IPCA + 7,415%",7.8193,7.5335,7.6643,0.1269,1013.820803,2110.72,0.1,IPCA +,2024-11-12
AEAB11,AES CAJUINA AB1 HOLDINGS S.A. (*),15/06/2044,"IPCA + 7,0718%",7.6077,7.3104,7.3829,0.1312,1159.718145,2018.99,0.35,IPCA +,2024-11-12
AEGP23,AEGEA SANEAMENTO E PARTICIPAÇÕES S/A (*) (**),15/07/2025,"IPCA + 7,0825%",--,--,8.9095,0.3094,7046.867244,165,,IPCA +,2024-11-12
AESL17,RGE SUL DISTRIBUIDORA DE ENERGIA S/A,15/08/2025,"IPCA + 5,8%",5.5858,5.1862,5.4536,0.2112,706.647019,184.53,,IPCA +,2024-11-12
AESLA5,RGE SUL DISTRIBUIDORA DE ENERGIA S/A (*),15/10/2033,"IPCA + 6,1774%",7.1291,6.7081,6.9239,0.1115,1006.809364,1583.66,,IPCA +,2024-11-12
AESLA7,RGE SUL DISTRIBUIDORA DE ENERGIA S/A (*),15/04/2034,"IPCA + 6,1409%",7.1814,6.8218,7.0157,0.1356,969.993183,1659.75,,IPCA +,2024-11-12
AESLB7,RGE SUL DISTRIBUIDORA DE ENERGIA S/A (*),15/04/2039,"IPCA + 6,2031%",7.046,6.8124,6.8644,0.0874,967.413768,2297.54,,IPCA +,2024-11-12
AESOA1,AES TIETE ENERGIA S/A (*),15/03/2038,"IPCA + 6,4966%",7.5514,7.1801,7.3458,0.123,1009.489418,1593.88,0.45,IPCA +,2024-11-12
AGVF12,AGRO INDUSTRIAS DO VALE DO SAO FRANCISCO SA - AGROVALE (*),15/08/2027,"IPCA + 6,7686%",7.5287,7.231,7.3599,0.2255,1204.100595,410.99,0.05,IPCA +,2024-11-12
AHGD13,ATHON GERACAO DISTRIBUIDA S/A (*),15/09/2041,"IPCA + 7,3293%",7.7318,7.372,7.6015,0.1155,0.998145,1604.77,0.15,IPCA +,2024-11-12
ALGA27,ALGAR TELECOM S/A,15/03/2025,"IPCA + 5,5395%",--,5.0722,5.1771,0.2352,716.997099,83,,IPCA +,2024-11-12
ALGAB1,ALGAR TELECOM S/A (*),15/07/2031,"IPCA + 4,9999%",7.7183,7.2955,7.3937,0.147,1101.120944,1214.03,,IPCA +,2024-11-12
ALGAC2,ALGAR TELECOM S/A (*),15/01/2032,"IPCA + 5,8806%",7.7018,7.305,7.527,0.0416,1078.437013,1277.62,,IPCA +,2024-11-12
ALGE16,ALIANCA GERACAO DE ENERGIA S.A (*),15/11/2037,"IPCA + 6,1451%",7.2847,6.8924,7.139,0.0958,1020.448372,1469.95,0.1,IPCA +,2024-11-12
ALGTA4,ALGAR TELECOM S/A (*),15/11/2033,"IPCA + 6,3243%",7.6,7.2803,7.4765,0.098,1011.445102,1460.57,0.1,IPCA +,2024-11-12
ALIG12,ALIANCA GERACAO DE ENERGIA S.A,15/12/2029,"IPCA + 3,65%",7.0649,6.6425,6.8628,0.2098,922.956207,575.96,,IPCA +,2024-11-12
ALIG13,ALIANCA GERACAO DE ENERGIA S.A (*),15/02/2035,IPCA + 4%,7.1244,6.8299,7.0005,0.2456,901.320972,1166.48,,IPCA +,2024-11-12
ALIG15,ALIANCA GERACAO DE ENERGIA S.A (*),15/04/2036,"IPCA + 6,1305%",7.1581,6.8557,7.0001,0.1862,970.776059,1395.11,0.1,IPCA +,2024-11-12
ANET11,AMERICA NET S.A. (*),15/03/2029,"IPCA + 5,6006%",8.4342,7.9799,8.1856,0.2174,824.45227,532.01,0.05,IPCA +,2024-11-12
ANET12,AMERICA NET S.A. (*),15/11/2030,"IPCA + 8,9619%",8.6924,8.2694,8.5717,0.5638,1157.908181,909.19,0.45,IPCA +,2024-11-12
APFD19,AUTOPISTA FERNAO DIAS S/A (*),15/09/2031,"IPCA + 6,3854%",7.5504,7.2043,7.3664,0.1418,1075.690167,975.5,0.4,IPCA +,2024-11-12
APRB18,AUTOPISTA REGIS BITTENCOURT S/A,15/06/2031,"IPCA + 4,5%",7.5532,7.1878,7.3953,0.0969,1245.629939,1048.89,0.35,IPCA +,2024-11-12
ARTR19,ARTERIS S/A (*) (**),15/09/2027,"IPCA + 4,8392%",7.681,7.0762,7.3252,0.2306,1237.982707,553.05,,IPCA +,2024-11-12
ASAB11,ASA BRANCA HOLDING S.A. (*),15/06/2033,"IPCA + 6,25%",9.1623,8.6056,8.9369,0.1518,906.187249,973.93,,IPCA +,2024-11-12
ASCP13,CONCESS. ROD. A. S. E C. PINTO S/A - ECOPISTAS (*),15/03/2030,"IPCA + 7,55%",7.2586,6.9067,7.0677,0.075,1052.081623,770.48,,IPCA +,2024-11-12
ASCP23,CONCESS. ROD. A. S. E C. PINTO S/A - ECOPISTAS (*),15/03/2035,"IPCA + 8,15%",7.4446,7.0226,7.2647,0.1214,1136.045068,1584.38,,IPCA +,2024-11-12
ASER12,AGUAS DO SERTAO S.A. (*),15/12/2043,"IPCA + 8,4051%",8.9463,8.5007,8.638,0.1415,1078.875776,2119.41,0.35,IPCA +,2024-11-12
